"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"1","Cool Temperate Arid Predominantly Closed","CTemp",14.4021165678708,"EN","PP","EN_PP","est"
"2","Cool Temperate Estuarine Lagoon","CTemp",60.0688314211718,"EN","MP","EN_MP","est"
"3","Cool Temperate Estuarine Lake","CTemp",70.9307671719994,"EN","PP","EN_PP","est"
"4","Cool Temperate Large Fluvially Dominated","CTemp",30.1905846029966,"EN","PP","EN_PP","est"
"5","Cool Temperate Large Temporarily Closed","CTemp",32.8391200959501,"EN","PP","EN_PP","est"
"6","Cool Temperate Predominantly Open","CTemp",152.598212237101,"EN","NP","EN_NP","est"
"7","Cool Temperate Small Fluvially Dominated","CTemp",0.0395655144470274,"VU","WP","VU_WP","est"
"8","Cool Temperate Small Temporarily Closed","CTemp",5.17640367488375,"VU","MP","VU_MP","est"
"9","Warm Temperate Estuarine Bay","WTemp",30.1056471283708,"VU","MP","VU_MP","est"
"10","Warm Temperate Estuarine Lake","WTemp",143.423569509232,"EN","MP","EN_MP","est"
"11","Warm Temperate Large Fluvially Dominated","WTemp",5.72582112925239,"VU","NP","VU_NP","est"
"12","Warm Temperate Large Temporarily Closed","WTemp",69.2596673221285,"VU","PP","VU_PP","est"
"13","Warm Temperate Predominantly Open","WTemp",176.69248293924,"VU","PP","VU_PP","est"
"14","Warm Temperate Small Fluvially Dominated","WTemp",1.22435829857325,"LC","WP","LC_WP","est"
"15","Warm Temperate Small Temporarily Closed","WTemp",16.1027211742301,"LC","MP","LC_MP","est"
"16","Subtropical Estuarine Bay","SubTrop",28.1520198774511,"CR","NP","CR_NP","est"
"17","Subtropical Estuarine Lake","SubTrop",818.752767461073,"EN","MP","EN_MP","est"
"18","Subtropical Large Fluvially Dominated","SubTrop",107.658288479826,"EN","PP","EN_PP","est"
"19","Subtropical Large Temporarily Closed","SubTrop",50.5120897559682,"VU","PP","VU_PP","est"
"20","Subtropical Predominantly Open","SubTrop",78.4991420166852,"VU","PP","VU_PP","est"
"21","Subtropical Small Temporarily Closed","SubTrop",20.4839036645557,"VU","MP","VU_MP","est"
"22","Tropical Estuarine Lake","Tropical",81.6629477243529,"VU","MP","VU_MP","est"
